Country,Month,UnitPrice
Japan,2011-12,19.68
Lebanon,2011-01,242.44
Lithuania,2010-12,99.44
Malta,2011-06,175.76
Malta,2011-08,273.42
Malta,2011-11,198.87
Malta,2011-12,17.96
Netherlands,2010-12,161.69
Netherlands,2011-01,443.62
Netherlands,2011-02,437.53
Netherlands,2011-03,549.47
Netherlands,2011-04,54.93
Netherlands,2011-05,676.3
Netherlands,2011-06,802.56
Netherlands,2011-07,26.02
Netherlands,2011-08,815.4399999999999
Netherlands,2011-09,917.17
Netherlands,2011-10,784.63
Netherlands,2011-11,621.8
Netherlands,2011-12,201.39000000000001
Norway,2010-12,238.83
Norway,2011-02,133.65
Norway,2011-03,1831.72
Norway,2011-06,1521.0700000000002
Norway,2011-07,168.63
Norway,2011-08,418.15999999999997
Norway,2011-09,746.67
Norway,2011-10,511.37
Norway,2011-11,740.53
Norway,2011-12,218.43
Poland,2010-12,18.99
Poland,2011-01,96.03999999999999
Poland,2011-02,68.5
Poland,2011-03,36.61
Poland,2011-04,77.59
Poland,2011-05,299.71
Poland,2011-06,164.98
Poland,2011-07,161.04
Poland,2011-08,111.09
Poland,2011-09,188.85
Poland,2011-11,198.87
Portugal,2010-12,498.31
Portugal,2011-01,425.33
Portugal,2011-02,216.98000000000002
Portugal,2011-03,334.88
Portugal,2011-04,214.86
Portugal,2011-05,7377.82
Portugal,2011-06,170.73
Portugal,2011-07,200.21
Portugal,2011-08,52.81
Portugal,2011-09,191.76
Portugal,2011-10,2443.56
Portugal,2011-11,561.24
Portugal,2011-12,349.05
RSA,2011-10,248.1
Saudi Arabia,2011-02,21.16
Saudi Arabia,2011-03,2.95
Singapore,2011-01,263.34000000000003
Singapore,2011-04,12309.61
Singapore,2011-07,230.46
Singapore,2011-10,12288.880000000001
Spain,2010-12,250.76
Spain,2011-01,4280.1
Spain,2011-02,471.71999999999997
Spain,2011-03,870.36
Spain,2011-04,396.65
Spain,2011-05,419.66
Spain,2011-06,798.09
Spain,2011-07,647.63
Spain,2011-08,901.03
Spain,2011-09,997.87
Spain,2011-10,1248.16
Spain,2011-11,1200.94
Spain,2011-12,150.48
Sweden,2010-12,47.27
Sweden,2011-01,149.37
Sweden,2011-02,62.91
Sweden,2011-03,92.06
Sweden,2011-04,179.55
Sweden,2011-05,98.77000000000001
Sweden,2011-06,174.88
Sweden,2011-07,168.86
Sweden,2011-08,233.9
Sweden,2011-09,112.21000000000001
Sweden,2011-10,133.4
Sweden,2011-11,341.75
Sweden,2011-12,11.9
Switzerland,2010-12,146.02
Switzerland,2011-01,436.81
Switzerland,2011-02,504.25
Switzerland,2011-03,282.02
Switzerland,2011-04,404.11
Switzerland,2011-05,451.51
Switzerland,2011-06,502.14
Switzerland,2011-07,648.91
Switzerland,2011-08,915.66
Switzerland,2011-09,673.61
Switzerland,2011-10,1045.7
Switzerland,2011-11,802.95
USA,2011-04,74.2
USA,2011-10,500.57
USA,2011-12,70.21000000000001
United Arab Emirates,2011-02,77.57
United Arab Emirates,2011-09,152.32
United Kingdom,2010-12,251922.9
United Kingdom,2011-01,158452.11
United Kingdom,2011-02,118103.43
United Kingdom,2011-03,145687.73
United Kingdom,2011-04,106834.271
United Kingdom,2011-05,170529.88999999998
United Kingdom,2011-06,179677.32
United Kingdom,2011-07,158623.061
United Kingdom,2011-08,133920.44
United Kingdom,2011-09,177289.462
United Kingdom,2011-10,214774.21
United Kingdom,2011-11,301640.98
United Kingdom,2011-12,128259.67
Unspecified,2011-04,36.5
Unspecified,2011-05,127.32000000000001
Unspecified,2011-06,42.1
Unspecified,2011-07,627.05
Unspecified,2011-08,146.51
Unspecified,2011-09,108.43
Unspecified,2011-11,116.10000000000001
